# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2026-08-25 07:34:27 -04:00	(natwebsdas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11181040 SAN LORENZO C A SAN LORENZO CA
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
# IV_TS_ID - An internal number representing the Instantaneous Value time series from which the daily statistic is calculated.
#
# Data provided for site 11181040
#    TS_ID       Parameter    Statistic  IV_TS_ID       Description
#    9070        00060        00003      14888          Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
#
agency_cd	site_no	datetime	9070_00060_00003	9070_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11181040	2000-01-01	8.20	A:e
USGS	11181040	2000-01-02	8.20	A:e
USGS	11181040	2000-01-03	8.50	A:e
USGS	11181040	2000-01-04	8.60	A:e
USGS	11181040	2000-01-05	8.70	A:e
USGS	11181040	2000-01-06	8.60	A:e
USGS	11181040	2000-01-07	8.80	A:e
USGS	11181040	2000-01-08	9.00	A:e
USGS	11181040	2000-01-09	9.40	A:e
USGS	11181040	2000-01-10	20.0	A:e
USGS	11181040	2000-01-11	31.0	A:e
USGS	11181040	2000-01-12	15.0	A:e
USGS	11181040	2000-01-13	9.00	A:e
USGS	11181040	2000-01-14	5.20	A:e
USGS	11181040	2000-01-15	6.00	A:e
USGS	11181040	2000-01-16	66.0	A:e
USGS	11181040	2000-01-17	12.0	A:e
USGS	11181040	2000-01-18	51.0	A:e
USGS	11181040	2000-01-19	20.0	A:e
USGS	11181040	2000-01-20	9.00	A:e
USGS	11181040	2000-01-21	10.0	A:e
USGS	11181040	2000-01-22	35.0	A:e
USGS	11181040	2000-01-23	80.0	A:e
USGS	11181040	2000-01-24	350	A:e
USGS	11181040	2000-01-25	110	A:e
USGS	11181040	2000-01-26	30.0	A:e
USGS	11181040	2000-01-27	21.0	A:e
USGS	11181040	2000-01-28	17.0	A
USGS	11181040	2000-01-29	23.0	A
USGS	11181040	2000-01-30	49.0	A
USGS	11181040	2000-01-31	21.0	A
USGS	11181040	2000-02-01	15.0	A
USGS	11181040	2000-02-02	13.0	A
USGS	11181040	2000-02-03	34.0	A
USGS	11181040	2000-02-04	16.0	A
USGS	11181040	2000-02-05	31.0	A
USGS	11181040	2000-02-06	19.0	A
USGS	11181040	2000-02-07	17.0	A
USGS	11181040	2000-02-08	15.0	A
USGS	11181040	2000-02-09	16.0	A
USGS	11181040	2000-02-10	77.0	A
USGS	11181040	2000-02-11	326	A
USGS	11181040	2000-02-12	102	A
USGS	11181040	2000-02-13	1020	A
USGS	11181040	2000-02-14	1030	A
USGS	11181040	2000-02-15	103	A
USGS	11181040	2000-02-16	58.0	A
USGS	11181040	2000-02-17	40.0	A
USGS	11181040	2000-02-18	30.0	A
USGS	11181040	2000-02-19	22.0	A
USGS	11181040	2000-02-20	51.0	A
USGS	11181040	2000-02-21	27.0	A
USGS	11181040	2000-02-22	119	A
USGS	11181040	2000-02-23	260	A
USGS	11181040	2000-02-24	39.0	A
USGS	11181040	2000-02-25	31.0	A
USGS	11181040	2000-02-26	38.0	A
USGS	11181040	2000-02-27	238	A
USGS	11181040	2000-02-28	52.0	A
USGS	11181040	2000-02-29	58.0	A
USGS	11181040	2000-03-01	34.0	A
USGS	11181040	2000-03-02	37.0	A
USGS	11181040	2000-03-03	30.0	A
USGS	11181040	2000-03-04	57.0	A
USGS	11181040	2000-03-05	145	A
USGS	11181040	2000-03-06	33.0	A
USGS	11181040	2000-03-07	37.0	A
USGS	11181040	2000-03-08	180	A:e
USGS	11181040	2000-03-09	157	A
USGS	11181040	2000-03-10	92.0	A
USGS	11181040	2000-03-11	75.0	A
USGS	11181040	2000-03-12	63.0	A
USGS	11181040	2000-03-13	55.0	A
USGS	11181040	2000-03-14	50.0	A
USGS	11181040	2000-03-15	45.0	A
USGS	11181040	2000-03-16	41.0	A
USGS	11181040	2000-03-17	38.0	A
USGS	11181040	2000-03-18	35.0	A
USGS	11181040	2000-03-19	33.0	A
USGS	11181040	2000-03-20	31.0	A
USGS	11181040	2000-03-21	29.0	A
USGS	11181040	2000-03-22	29.0	A
USGS	11181040	2000-03-23	28.0	A
USGS	11181040	2000-03-24	27.0	A
USGS	11181040	2000-03-25	27.0	A
USGS	11181040	2000-03-26	25.0	A:e
USGS	11181040	2000-03-27	22.0	A:e
USGS	11181040	2000-03-28	21.0	A:e
USGS	11181040	2000-03-29	20.0	A:e
USGS	11181040	2000-03-30	19.0	A:e
USGS	11181040	2000-03-31	18.0	A:e
USGS	11181040	2000-04-01	18.0	A:e
USGS	11181040	2000-04-02	18.0	A:e
USGS	11181040	2000-04-03	19.0	A:e
USGS	11181040	2000-04-04	18.0	A:e
USGS	11181040	2000-04-05	19.0	A:e
USGS	11181040	2000-04-06	18.0	A:e
USGS	11181040	2000-04-07	17.0	A:e
USGS	11181040	2000-04-08	16.0	A:e
USGS	11181040	2000-04-09	15.0	A:e
USGS	11181040	2000-04-10	15.0	A:e
USGS	11181040	2000-04-11	14.0	A:e
USGS	11181040	2000-04-12	33.0	A
USGS	11181040	2000-04-13	54.0	A
USGS	11181040	2000-04-14	25.0	A
USGS	11181040	2000-04-15	25.0	A
USGS	11181040	2000-04-16	23.0	A
USGS	11181040	2000-04-17	41.0	A
USGS	11181040	2000-04-18	26.0	A
USGS	11181040	2000-04-19	22.0	A
USGS	11181040	2000-04-20	21.0	A
USGS	11181040	2000-04-21	20.0	A
USGS	11181040	2000-04-22	23.0	A
USGS	11181040	2000-04-23	19.0	A
USGS	11181040	2000-04-24	18.0	A
USGS	11181040	2000-04-25	17.0	A
USGS	11181040	2000-04-26	16.0	A
USGS	11181040	2000-04-27	16.0	A
USGS	11181040	2000-04-28	15.0	A
USGS	11181040	2000-04-29	15.0	A
USGS	11181040	2000-04-30	14.0	A
USGS	11181040	2000-05-01	14.0	A
USGS	11181040	2000-05-02	14.0	A
USGS	11181040	2000-05-03	13.0	A
USGS	11181040	2000-05-04	13.0	A
USGS	11181040	2000-05-05	12.0	A
USGS	11181040	2000-05-06	12.0	A
USGS	11181040	2000-05-07	29.0	A
USGS	11181040	2000-05-08	94.0	A
USGS	11181040	2000-05-09	11.0	A
USGS	11181040	2000-05-10	12.0	A
USGS	11181040	2000-05-11	13.0	A
USGS	11181040	2000-05-12	14.0	A
USGS	11181040	2000-05-13	25.0	A:e
USGS	11181040	2000-05-14	44.0	A:e
USGS	11181040	2000-05-15	24.0	A:e
USGS	11181040	2000-05-16	20.0	A:e
USGS	11181040	2000-05-17	17.0	A:e
USGS	11181040	2000-05-18	16.0	A:e
USGS	11181040	2000-05-19	15.0	A:e
USGS	11181040	2000-05-20	14.0	A:e
USGS	11181040	2000-05-21	13.0	A
USGS	11181040	2000-05-22	13.0	A
USGS	11181040	2000-05-23	11.0	A
USGS	11181040	2000-05-24	10.0	A:e
USGS	11181040	2000-05-25	9.00	A:e
USGS	11181040	2000-05-26	8.30	A
USGS	11181040	2000-05-27	8.00	A
USGS	11181040	2000-05-28	7.90	A
USGS	11181040	2000-05-29	7.50	A:e
USGS	11181040	2000-05-30	7.30	A:e
USGS	11181040	2000-05-31	7.20	A:e
USGS	11181040	2000-06-01	7.00	A:e
USGS	11181040	2000-06-02	6.90	A:e
USGS	11181040	2000-06-03	6.80	A:e
USGS	11181040	2000-06-04	6.60	A:e
USGS	11181040	2000-06-05	6.50	A:e
USGS	11181040	2000-06-06	6.50	A:e
USGS	11181040	2000-06-07	16.0	A:e
USGS	11181040	2000-06-08	10.0	A:e
USGS	11181040	2000-06-09	7.50	A:e
USGS	11181040	2000-06-10	6.00	A:e
USGS	11181040	2000-06-11	5.20	A:e
USGS	11181040	2000-06-12	4.80	A:e
USGS	11181040	2000-06-13	4.00	A:e
USGS	11181040	2000-06-14	3.40	A:e
USGS	11181040	2000-06-15	3.10	A:e
USGS	11181040	2000-06-16	3.20	A:e
USGS	11181040	2000-06-17	3.60	A:e
USGS	11181040	2000-06-18	3.50	A:e
USGS	11181040	2000-06-19	3.30	A:e
USGS	11181040	2000-06-20	3.00	A:e
USGS	11181040	2000-06-21	2.90	A:e
USGS	11181040	2000-06-22	3.00	A:e
USGS	11181040	2000-06-23	3.10	A:e
USGS	11181040	2000-06-24	3.40	A:e
USGS	11181040	2000-06-25	3.20	A:e
USGS	11181040	2000-06-26	3.00	A:e
USGS	11181040	2000-06-27	2.80	A:e
USGS	11181040	2000-06-28	2.60	A:e
USGS	11181040	2000-06-29	2.70	A:e
USGS	11181040	2000-06-30	2.80	A:e
USGS	11181040	2000-07-01	2.80	A:e
USGS	11181040	2000-07-02	3.00	A:e
USGS	11181040	2000-07-03	3.10	A:e
USGS	11181040	2000-07-04	2.90	A:e
USGS	11181040	2000-07-05	3.30	A:e
USGS	11181040	2000-07-06	2.50	A:e
USGS	11181040	2000-07-07	2.00	A:e
USGS	11181040	2000-07-08	3.00	A:e
USGS	11181040	2000-07-09	2.60	A:e
USGS	11181040	2000-07-10	2.50	A:e
USGS	11181040	2000-07-11	2.40	A:e
USGS	11181040	2000-07-12	2.40	A:e
USGS	11181040	2000-07-13	2.30	A:e
USGS	11181040	2000-07-14	2.40	A:e
USGS	11181040	2000-07-15	2.40	A:e
USGS	11181040	2000-07-16	2.50	A:e
USGS	11181040	2000-07-17	2.50	A:e
USGS	11181040	2000-07-18	2.60	A:e
USGS	11181040	2000-07-19	2.60	A:e
USGS	11181040	2000-07-20	2.50	A:e
USGS	11181040	2000-07-21	2.50	A:e
USGS	11181040	2000-07-22	2.40	A:e
USGS	11181040	2000-07-23	2.50	A:e
USGS	11181040	2000-07-24	2.50	A:e
USGS	11181040	2000-07-25	2.40	A:e
USGS	11181040	2000-07-26	2.40	A:e
USGS	11181040	2000-07-27	2.40	A:e
USGS	11181040	2000-07-28	2.50	A:e
USGS	11181040	2000-07-29	2.40	A:e
USGS	11181040	2000-07-30	2.30	A:e
USGS	11181040	2000-07-31	2.30	A:e
USGS	11181040	2000-08-01	2.20	A:e
USGS	11181040	2000-08-02	2.20	A:e
USGS	11181040	2000-08-03	2.10	A:e
USGS	11181040	2000-08-04	2.10	A:e
USGS	11181040	2000-08-05	2.00	A:e
USGS	11181040	2000-08-06	2.00	A:e
USGS	11181040	2000-08-07	2.00	A:e
USGS	11181040	2000-08-08	2.00	A:e
USGS	11181040	2000-08-09	1.90	A:e
USGS	11181040	2000-08-10	1.90	A:e
USGS	11181040	2000-08-11	1.80	A:e
USGS	11181040	2000-08-12	2.00	A:e
USGS	11181040	2000-08-13	2.20	A:e
USGS	11181040	2000-08-14	2.00	A
USGS	11181040	2000-08-15	1.50	A
USGS	11181040	2000-08-16	2.10	A
USGS	11181040	2000-08-17	2.00	A
USGS	11181040	2000-08-18	1.60	A
USGS	11181040	2000-08-19	1.80	A
USGS	11181040	2000-08-20	2.00	A
USGS	11181040	2000-08-21	2.20	A
USGS	11181040	2000-08-22	1.80	A
USGS	11181040	2000-08-23	2.30	A
USGS	11181040	2000-08-24	3.10	A
USGS	11181040	2000-08-25	2.70	A
USGS	11181040	2000-08-26	2.80	A
USGS	11181040	2000-08-27	2.60	A
USGS	11181040	2000-08-28	2.80	A
USGS	11181040	2000-08-29	2.90	A
USGS	11181040	2000-08-30	3.20	A
USGS	11181040	2000-08-31	3.20	A
USGS	11181040	2000-09-01	25.0	A
USGS	11181040	2000-09-02	7.80	A
USGS	11181040	2000-09-03	2.70	A
USGS	11181040	2000-09-04	2.10	A
USGS	11181040	2000-09-05	2.00	A
USGS	11181040	2000-09-06	1.90	A:e
USGS	11181040	2000-09-07	1.80	A:e
USGS	11181040	2000-09-08	1.80	A:e
USGS	11181040	2000-09-09	1.70	A:e
USGS	11181040	2000-09-10	1.70	A:e
USGS	11181040	2000-09-11	1.70	A:e
USGS	11181040	2000-09-12	1.70	A:e
USGS	11181040	2000-09-13	1.70	A:e
USGS	11181040	2000-09-14	1.60	A:e
USGS	11181040	2000-09-15	1.60	A:e
USGS	11181040	2000-09-16	1.60	A:e
USGS	11181040	2000-09-17	1.60	A:e
USGS	11181040	2000-09-18	1.60	A:e
USGS	11181040	2000-09-19	1.50	A:e
USGS	11181040	2000-09-20	1.50	A:e
USGS	11181040	2000-09-21	1.50	A:e
USGS	11181040	2000-09-22	3.00	A:e
USGS	11181040	2000-09-23	4.20	A:e
USGS	11181040	2000-09-24	2.00	A:e
USGS	11181040	2000-09-25	1.50	A:e
USGS	11181040	2000-09-26	1.50	A:e
USGS	11181040	2000-09-27	1.40	A:e
USGS	11181040	2000-09-28	1.40	A:e
USGS	11181040	2000-09-29	1.40	A:e
USGS	11181040	2000-09-30	1.30	A:e
USGS	11181040	2000-10-01	1.30	A:e
USGS	11181040	2000-10-02	1.60	A:e
USGS	11181040	2000-10-03	1.90	A:e
USGS	11181040	2000-10-04	1.80	A:e
USGS	11181040	2000-10-05	1.80	A:e
USGS	11181040	2000-10-06	1.70	A:e
USGS	11181040	2000-10-07	1.60	A:e
USGS	11181040	2000-10-08	1.70	A:e
USGS	11181040	2000-10-09	2.40	A:e
USGS	11181040	2000-10-10	9.00	A:e
USGS	11181040	2000-10-11	23.0	A:e
USGS	11181040	2000-10-12	5.50	A:e
USGS	11181040	2000-10-13	3.00	A:e
USGS	11181040	2000-10-14	2.50	A:e
USGS	11181040	2000-10-15	2.30	A:e
USGS	11181040	2000-10-16	1.90	A:e
USGS	11181040	2000-10-17	1.80	A:e
USGS	11181040	2000-10-18	1.70	A:e
USGS	11181040	2000-10-19	1.70	A:e
USGS	11181040	2000-10-20	1.80	A:e
USGS	11181040	2000-10-21	2.20	A:e
USGS	11181040	2000-10-22	3.00	A:e
USGS	11181040	2000-10-23	3.20	A:e
USGS	11181040	2000-10-24	3.80	A:e
USGS	11181040	2000-10-25	29.0	A:e
USGS	11181040	2000-10-26	130	A:e
USGS	11181040	2000-10-27	22.0	A:e
USGS	11181040	2000-10-28	90.0	A:e
USGS	11181040	2000-10-29	104	A:e
USGS	11181040	2000-10-30	100	A:e
USGS	11181040	2000-10-31	15.0	A:e
USGS	11181040	2000-11-01	5.00	A:e
USGS	11181040	2000-11-02	4.50	A:e
USGS	11181040	2000-11-03	4.40	A:e
USGS	11181040	2000-11-04	3.50	A:e
USGS	11181040	2000-11-05	3.20	A:e
USGS	11181040	2000-11-06	3.30	A:e
USGS	11181040	2000-11-07	3.20	A:e
USGS	11181040	2000-11-08	3.40	A:e
USGS	11181040	2000-11-09	3.60	A:e
USGS	11181040	2000-11-10	3.40	A:e
USGS	11181040	2000-11-11	3.20	A:e
USGS	11181040	2000-11-12	3.20	A:e
USGS	11181040	2000-11-13	11.0	A:e
USGS	11181040	2000-11-14	7.50	A:e
