# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2026-08-25 07:34:28 -04:00	(natwebsdas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11460400 LAGUNITAS C A SAMUEL P TAYLOR STATE PARK CA
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
# IV_TS_ID - An internal number representing the Instantaneous Value time series from which the daily statistic is calculated.
#
# Data provided for site 11460400
#    TS_ID       Parameter    Statistic  IV_TS_ID       Description
#    11314       00060        00003      16286          Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
#
agency_cd	site_no	datetime	11314_00060_00003	11314_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11460400	2000-01-01	21.0	A
USGS	11460400	2000-01-02	22.0	A
USGS	11460400	2000-01-03	32.0	A
USGS	11460400	2000-01-04	39.0	A
USGS	11460400	2000-01-05	39.0	A
USGS	11460400	2000-01-06	32.0	A
USGS	11460400	2000-01-07	28.0	A
USGS	11460400	2000-01-08	27.0	A
USGS	11460400	2000-01-09	27.0	A
USGS	11460400	2000-01-10	27.0	A
USGS	11460400	2000-01-11	52.0	A
USGS	11460400	2000-01-12	38.0	A
USGS	11460400	2000-01-13	31.0	A
USGS	11460400	2000-01-14	29.0	A
USGS	11460400	2000-01-15	28.0	A
USGS	11460400	2000-01-16	67.0	A
USGS	11460400	2000-01-17	37.0	A
USGS	11460400	2000-01-18	66.0	A
USGS	11460400	2000-01-19	55.0	A
USGS	11460400	2000-01-20	44.0	A
USGS	11460400	2000-01-21	31.0	A
USGS	11460400	2000-01-22	25.0	A
USGS	11460400	2000-01-23	107	A
USGS	11460400	2000-01-24	367	A
USGS	11460400	2000-01-25	96.0	A
USGS	11460400	2000-01-26	47.0	A
USGS	11460400	2000-01-27	32.0	A
USGS	11460400	2000-01-28	26.0	A
USGS	11460400	2000-01-29	24.0	A
USGS	11460400	2000-01-30	64.0	A
USGS	11460400	2000-01-31	45.0	A
USGS	11460400	2000-02-01	35.0	A
USGS	11460400	2000-02-02	30.0	A
USGS	11460400	2000-02-03	35.0	A
USGS	11460400	2000-02-04	34.0	A
USGS	11460400	2000-02-05	54.0	A
USGS	11460400	2000-02-06	49.0	A
USGS	11460400	2000-02-07	35.0	A
USGS	11460400	2000-02-08	29.0	A
USGS	11460400	2000-02-09	30.0	A
USGS	11460400	2000-02-10	106	A
USGS	11460400	2000-02-11	284	A
USGS	11460400	2000-02-12	326	A
USGS	11460400	2000-02-13	899	A
USGS	11460400	2000-02-14	467	A
USGS	11460400	2000-02-15	151	A
USGS	11460400	2000-02-16	84.0	A
USGS	11460400	2000-02-17	55.0	A
USGS	11460400	2000-02-18	41.0	A
USGS	11460400	2000-02-19	33.0	A
USGS	11460400	2000-02-20	50.0	A
USGS	11460400	2000-02-21	75.0	A
USGS	11460400	2000-02-22	132	A
USGS	11460400	2000-02-23	196	A
USGS	11460400	2000-02-24	95.0	A
USGS	11460400	2000-02-25	68.0	A
USGS	11460400	2000-02-26	195	A
USGS	11460400	2000-02-27	409	A
USGS	11460400	2000-02-28	259	A
USGS	11460400	2000-02-29	562	A
USGS	11460400	2000-03-01	501	A
USGS	11460400	2000-03-02	328	A
USGS	11460400	2000-03-03	237	A
USGS	11460400	2000-03-04	190	A
USGS	11460400	2000-03-05	235	A
USGS	11460400	2000-03-06	209	A
USGS	11460400	2000-03-07	184	A
USGS	11460400	2000-03-08	285	A
USGS	11460400	2000-03-09	362	A
USGS	11460400	2000-03-10	295	A
